Algorithm;Problem;CPU Time [ms];System Time [ms];User Time [ms];Clock Time [ms];Optimize counter;Optimize/sec (CPU) [1/s];Optimize/sec (Clock) [1/s];Exception;Best solution;Best solution (human readable);Depth;Fitness;Operations
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9350];453;1;452;458;20;44;43;none;[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1];[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1];0;2365.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9351];31;1;31;45;20;645;444;none;[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1];[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1];0;2673.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9352];47;15;32;33;20;425;606;none;[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1];[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1];0;2786.0;Empty knapsack created (random)
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9353];16;1;15;25;20;1250;800;none;[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1];[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1];0;3299.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9354];31;1;31;22;20;645;909;none;[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1];[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1];0;3392.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9355];16;1;16;22;20;1250;909;none;[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0];[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0];0;3303.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9356];31;1;31;28;20;645;714;none;[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0];[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0];0;3025.0;Empty knapsack created (random)
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9357];15;1;16;20;20;1333;1000;none;[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1];[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1];0;3033.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9358];16;1;16;25;20;1250;800;none;[1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1];0;3105.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9359];15;1;16;18;20;1333;1111;none;[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1];[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1];0;3312.0;Unknown operation
